application_id,continent,applicant_country,visa_type,processing_center,application_date,decision_date,processing_days,applicant_age,education_level,has_job_experience,full_time_flag,case_status
APP00001,South America,Brazil,Student,Paris,2022-01-31,2022-04-21,80,29,Master's,Y,Y,Approved
APP00002,Europe,Germany,Work,Paris,2020-02-24,2020-06-21,118,35,High School,N,N,Approved
APP00003,South America,Chile,Family,Mumbai,2023-09-25,2023-12-08,74,26,Bachelor's,Y,Y,Approved
APP00004,Asia,India,Student,Hyderabad,2021-08-10,2021-10-31,82,32,Diploma,Y,Y,Approved
APP00005,Oceania,Australia,Family,Hyderabad,2023-09-15,2023-12-09,85,20,Bachelor's,Y,N,Approved
APP00006,Europe,Italy,Family,Bangalore,2019-01-27,2019-04-09,72,27,Bachelor's,Y,Y,Approved
APP00007,Europe,Netherlands,Business,London,2022-02-12,2022-03-08,24,21,Bachelor's,Y,Y,Approved
APP00008,Europe,Germany,Tourist,Mumbai,2020-01-15,2020-02-19,35,31,High School,Y,Y,Approved
APP00009,Africa,Nigeria,Tourist,London,2021-12-19,2021-12-28,9,24,Master's,Y,Y,Approved
APP00010,Asia,UAE,Business,Sydney,2020-05-26,2020-06-13,18,27,High School,N,N,Approved
APP00011,Africa,Nigeria,Family,Bangalore,2023-01-21,2023-04-23,92,36,Master's,Y,Y,Approved
APP00012,Oceania,Australia,Research,Mumbai,2019-07-07,2019-10-23,108,36,Bachelor's,Y,Y,Approved
APP00013,South America,Brazil,Tourist,Mumbai,2021-08-11,2021-09-09,29,39,Master's,Y,Y,Approved
APP00014,Asia,Pakistan,Tourist,Toronto,2023-02-03,2023-02-27,24,40,Master's,Y,Y,Approved
APP00015,Europe,France,Tourist,Hyderabad,2021-12-29,2022-01-26,28,27,Bachelor's,Y,N,Approved
APP00016,South America,Chile,Research,Mumbai,2020-12-01,2021-03-28,117,26,Diploma,Y,Y,Approved
APP00017,Oceania,Australia,Work,Toronto,2023-04-04,2023-07-18,105,32,Master's,Y,N,Approved
APP00018,North America,Mexico,Research,Sydney,2021-06-18,2021-09-17,91,27,Diploma,Y,N,Denied
APP00019,South America,Argentina,Student,Hyderabad,2019-05-12,2019-07-26,75,28,Bachelor's,Y,Y,Approved
APP00020,North America,Canada,Tourist,Mumbai,2021-05-14,2021-06-06,23,32,Bachelor's,N,Y,Withdrawn
APP00021,Oceania,New Zealand,Work,Tokyo,2024-08-06,2024-10-11,66,29,Diploma,Y,N,Approved
APP00022,Africa,Egypt,Work,Bangalore,2020-07-25,2020-10-20,87,32,High School,Y,N,Approved
APP00023,Europe,Netherlands,Family,Sydney,2021-12-12,2022-03-15,93,35,Diploma,N,Y,Approved
APP00024,South America,Chile,Business,Berlin,2023-06-24,2023-07-16,22,45,High School,N,Y,Approved
APP00025,North America,USA,Work,Sydney,2024-07-14,2024-10-18,96,26,Bachelor's,Y,Y,Approved
APP00026,Asia,India,Student,Chennai,2020-10-17,2020-12-23,67,33,Bachelor's,Y,N,Approved
APP00027,South America,Argentina,Family,Mumbai,2023-04-26,2023-07-05,70,27,Master's,N,Y,Approved
APP00028,Africa,Ghana,Business,Sydney,2021-10-26,2021-11-12,17,39,Bachelor's,Y,Y,Denied
APP00029,Oceania,Australia,Research,Paris,2020-04-14,2020-07-31,108,35,Bachelor's,Y,N,Denied
APP00030,South America,Chile,Tourist,Dubai,2022-10-25,2022-11-17,23,32,Bachelor's,Y,Y,Denied
APP00031,Asia,Japan,Business,Chennai,2024-02-02,2024-02-20,18,24,High School,Y,Y,Approved
APP00032,Asia,UAE,Research,Bangalore,2024-08-12,2024-11-05,85,34,Master's,Y,Y,Approved
APP00033,Europe,Spain,Student,Tokyo,2022-05-07,2022-08-01,86,32,Bachelor's,Y,Y,Approved
APP00034,South America,Chile,Family,Hyderabad,2020-09-18,2020-11-26,69,24,PhD,Y,N,Approved
APP00035,North America,USA,Family,Dubai,2024-12-12,2025-03-07,85,40,Bachelor's,Y,Y,Approved
APP00036,Asia,Bangladesh,Tourist,Toronto,2019-03-21,2019-04-04,14,33,Master's,N,N,Approved
APP00037,Asia,Japan,Tourist,Hyderabad,2019-08-26,2019-09-20,25,29,PhD,N,Y,Approved
APP00038,Europe,Spain,Student,Mumbai,2024-06-13,2024-09-05,84,35,Diploma,Y,N,Approved
APP00039,Asia,Bangladesh,Work,Chennai,2024-04-30,2024-07-18,79,31,Bachelor's,N,Y,Approved
APP00040,Oceania,Australia,Tourist,Sydney,2023-09-30,2023-10-29,29,33,Bachelor's,N,Y,Approved
APP00041,Europe,Spain,Research,Paris,2021-04-03,2021-07-18,106,33,Master's,N,Y,Approved
APP00042,South America,Argentina,Business,Tokyo,2023-03-10,2023-03-31,21,37,Master's,N,N,Approved
APP00043,Africa,Ghana,Business,Mumbai,2021-10-12,2021-10-17,5,28,Bachelor's,Y,Y,Approved
APP00044,Europe,UK,Tourist,Delhi,2021-07-31,2021-09-02,33,18,High School,Y,N,Approved
APP00045,Oceania,Australia,Student,Mumbai,2019-08-30,2019-12-03,95,22,Master's,Y,N,Approved
APP00046,Europe,UK,Student,London,2019-10-18,2020-01-06,80,25,Bachelor's,Y,N,Withdrawn
APP00047,Oceania,Australia,Tourist,Tokyo,2024-06-11,2024-06-14,3,31,Master's,Y,Y,Approved
APP00048,Europe,Spain,Work,Paris,2024-04-20,2024-07-25,96,36,Bachelor's,Y,Y,Approved
APP00049,Europe,Italy,Business,Hyderabad,2020-01-22,2020-02-27,36,32,Bachelor's,Y,N,Approved
APP00050,Asia,UAE,Business,London,2023-10-01,2023-11-10,40,37,Bachelor's,Y,Y,Approved
APP00051,Africa,Egypt,Research,Delhi,2020-02-08,2020-05-23,105,35,Bachelor's,Y,Y,Approved
APP00052,Asia,Pakistan,Research,London,2020-03-23,2020-06-27,96,21,Bachelor's,Y,N,Approved
APP00053,Europe,Germany,Work,Sydney,2024-01-12,2024-05-08,117,19,Bachelor's,N,N,Approved
APP00054,Europe,Italy,Work,Bangalore,2024-03-09,2024-06-19,102,25,High School,Y,N,Approved
APP00055,Europe,UK,Business,Dubai,2020-02-06,2020-03-16,39,21,Bachelor's,Y,N,Approved
APP00056,Asia,UAE,Family,Delhi,2020-01-18,2020-04-10,83,25,High School,Y,N,Approved
APP00057,Europe,Germany,Business,Toronto,2024-05-25,2024-06-01,7,35,High School,Y,N,Denied
APP00058,Europe,Italy,Student,Chennai,2023-04-02,2023-06-25,84,34,Diploma,Y,N,Denied
APP00059,Asia,Pakistan,Tourist,Dubai,2024-02-07,2024-02-26,19,30,Bachelor's,N,Y,Denied
APP00060,North America,Canada,Research,Paris,2024-06-16,2024-09-26,102,37,Master's,N,Y,Denied
APP00061,Europe,Germany,Tourist,Hyderabad,2019-08-28,2019-10-02,35,30,Bachelor's,N,Y,Approved
APP00062,Oceania,Australia,Research,London,2019-08-23,2019-12-09,108,29,PhD,Y,N,Approved
APP00063,Asia,Bangladesh,Business,Sydney,2024-12-15,2024-12-18,3,21,Bachelor's,N,N,Approved
APP00064,Europe,UK,Family,Mumbai,2021-01-31,2021-04-25,84,23,High School,Y,Y,Denied
APP00065,Asia,Bangladesh,Student,Tokyo,2021-08-21,2021-11-09,80,27,High School,N,N,Approved
APP00066,Africa,Nigeria,Family,Hyderabad,2019-06-12,2019-09-02,82,26,High School,N,N,Approved
APP00067,Oceania,Australia,Business,Tokyo,2024-11-11,2024-11-14,3,20,Master's,N,N,Approved
APP00068,North America,Canada,Work,Tokyo,2022-07-10,2022-10-04,86,28,Master's,Y,Y,Denied
APP00069,Europe,France,Business,Chennai,2022-05-13,2022-05-27,14,22,High School,Y,Y,Approved
APP00070,Africa,South Africa,Student,Delhi,2024-02-21,2024-05-09,78,24,Master's,Y,N,Approved
APP00071,Oceania,Australia,Student,Sydney,2021-05-23,2021-08-19,88,27,Diploma,N,Y,Withdrawn
APP00072,Oceania,New Zealand,Work,London,2019-10-09,2020-01-09,92,30,High School,Y,N,Approved
APP00073,Europe,France,Tourist,Chennai,2023-11-30,2024-01-13,44,36,Bachelor's,Y,Y,Denied
APP00074,Oceania,New Zealand,Family,Dubai,2024-12-06,2025-03-22,106,24,Diploma,Y,Y,Approved
APP00075,Asia,UAE,Family,Bangalore,2020-02-29,2020-05-09,70,31,PhD,N,N,Approved
APP00076,Europe,France,Student,Mumbai,2020-09-28,2021-01-07,101,25,Bachelor's,Y,N,Denied
APP00077,North America,Canada,Family,Hyderabad,2022-11-05,2023-01-13,69,42,Master's,N,Y,Approved
APP00078,Europe,Netherlands,Research,Bangalore,2024-09-01,2024-12-24,114,26,PhD,Y,Y,Approved
APP00079,Africa,South Africa,Student,Mumbai,2023-10-01,2023-12-13,73,38,Bachelor's,Y,Y,Denied
APP00080,North America,USA,Student,London,2020-06-19,2020-09-22,95,30,Master's,N,N,Approved
APP00081,South America,Argentina,Work,Paris,2023-12-15,2024-03-01,77,29,PhD,Y,Y,Approved
APP00082,Oceania,New Zealand,Family,Delhi,2020-04-03,2020-06-03,61,38,High School,Y,Y,Approved
APP00083,Asia,UAE,Work,Sydney,2019-05-28,2019-09-09,104,30,Bachelor's,Y,N,Approved
APP00084,North America,Mexico,Family,Chennai,2023-10-27,2024-01-22,87,39,Master's,Y,Y,Approved
APP00085,Europe,UK,Tourist,London,2019-06-13,2019-07-20,37,18,Bachelor's,Y,N,Approved
APP00086,North America,USA,Research,Hyderabad,2020-02-26,2020-06-28,123,30,Bachelor's,Y,N,Denied
APP00087,North America,Mexico,Business,Berlin,2020-09-25,2020-09-28,3,29,Bachelor's,N,Y,Approved
APP00088,Europe,Germany,Work,New York,2019-04-12,2019-06-25,74,34,High School,Y,Y,Approved
APP00089,Europe,Netherlands,Tourist,Dubai,2023-08-14,2023-09-07,24,23,Diploma,Y,N,Approved
APP00090,South America,Chile,Work,Bangalore,2020-10-14,2020-12-31,78,33,Diploma,Y,Y,Approved
APP00091,South America,Brazil,Business,Delhi,2024-04-11,2024-04-24,13,22,Diploma,Y,Y,Approved
APP00092,Europe,Germany,Business,London,2022-06-04,2022-06-10,6,31,Master's,N,Y,Approved
APP00093,Europe,Germany,Student,Tokyo,2021-03-02,2021-05-23,82,35,Diploma,Y,Y,Approved
APP00094,Africa,South Africa,Tourist,Mumbai,2022-02-17,2022-02-20,3,39,Bachelor's,N,Y,Approved
APP00095,North America,Mexico,Family,New York,2022-09-18,2022-12-13,86,32,Bachelor's,Y,Y,Approved
APP00096,Asia,India,Tourist,Chennai,2021-12-23,2022-01-04,12,31,Diploma,Y,Y,Approved
APP00097,Asia,India,Family,New York,2022-11-16,2023-02-01,77,22,High School,N,Y,Approved
APP00098,South America,Argentina,Business,Berlin,2024-09-25,2024-10-09,14,40,High School,Y,Y,Approved
APP00099,Asia,Pakistan,Family,Hyderabad,2021-11-09,2022-01-15,67,28,Diploma,Y,N,Approved
APP00100,Asia,UAE,Business,Delhi,2024-10-30,2024-11-02,3,33,High School,Y,Y,Approved
APP00101,Oceania,Australia,Tourist,New York,2019-10-14,2019-10-31,17,23,Diploma,N,Y,Approved
APP00102,South America,Argentina,Family,London,2020-05-25,2020-08-16,83,29,High School,Y,N,Denied
APP00103,South America,Argentina,Family,Bangalore,2023-07-31,2023-10-12,73,35,Diploma,Y,N,Approved
APP00104,North America,Canada,Research,Bangalore,2020-06-05,2020-08-28,84,33,Master's,Y,Y,Approved
APP00105,Europe,Italy,Research,New York,2020-12-13,2021-03-03,80,30,High School,Y,Y,Approved
APP00106,Oceania,New Zealand,Business,Sydney,2019-01-02,2019-01-16,14,21,Bachelor's,Y,Y,Approved
APP00107,North America,Canada,Work,New York,2022-08-12,2022-11-27,107,25,Diploma,Y,N,Approved
APP00108,Africa,Egypt,Business,Tokyo,2021-05-25,2021-05-28,3,24,Bachelor's,N,N,Withdrawn
APP00109,Oceania,New Zealand,Research,Chennai,2019-12-14,2020-03-27,104,25,Master's,Y,Y,Approved
APP00110,North America,Mexico,Research,Tokyo,2022-10-04,2023-01-26,114,31,High School,N,Y,Approved
APP00111,Asia,China,Research,Bangalore,2021-07-09,2021-10-26,109,27,Bachelor's,Y,Y,Denied
APP00112,Europe,Germany,Student,Delhi,2021-09-29,2022-01-11,104,27,Bachelor's,Y,Y,Approved
APP00113,Africa,Ghana,Student,Toronto,2023-08-25,2023-11-23,90,41,Diploma,N,Y,Approved
